linkText,expectedURL,expectedTitle,condition
Enroll in my plan,https://customer-login.nationwide.com/registration/search/personal/individual-information,Nationwide Online Account Access | Sign Up For Online Access | Nationwide.com,DirectLink
Sign up,https://customer-login.nationwide.com/registration/search/personal/individual-information,Nationwide Online Account Access | Sign Up For Online Access | Nationwide.com,DirectLink
Log into your account,https://www.nationwide.com/my-account-login,Account Login - Personal and Business - Nationwide,DirectLink
Financial goals in 2024,https://www.nationwide.com/personal/investing/retirement-plans/articles/healthy-savings-habits,Retirement Plans – Ways to build healthy savings habits – Nationwide,DirectLink
Sign up for a webinar,https://www.nationwide.com/personal/investing/retirement-plans/webinars,Retirement Planning Webinars – Nationwide,DirectLink
I'm just getting started,https://www.nationwide.com/personal/investing/retirement-plans/getting-started/,Retirement Planning – Just Getting Started – Nationwide,DirectLink
Learn more ,https://www.nationwide.com/personal/investing/retirement-plans/articles/healthy-savings-habits,Retirement Plans – Ways to build healthy savings habits – Nationwide,DirectLink
Get the iPhone app,https://apps.apple.com/us/app/realtirement-by-nationwide/id1586385655,REALtirement by Nationwide on the App Store,DirectLink
