linkText,expectedURL,expectedTitle,condition
talk to a specialist,https://www.nationwide.com/personal/investing/mutual-funds/fund-list/,Nationwide Mutual Fund List,DirectLink
as a financial professional,https://nationwidefinancial.com/products/investments/mutual-funds?_ga=2.91944026.1731350872.1718336327-1378945627.1718336327&_gl=1*11k2f7h*_gcl_au*MTI2NTA3NDkwMC4xNzE4MzM2MzI4LjE2MDYzMTc0OTQuMTcxODQzNzMzNi4xNzE4NDM3MzM1*_ga*MTM3ODk0NTYyNy4xNzE4MzM2MzI3*_ga_GLJSQEPWL4*MTcxODQ1NzMxNS4xMC4xLjE3MTg0NTkyMDEuNjAuMC4w,Mutual Fund Products for Financial Professionals - Nationwide,DirectLink
institutional investors,https://nationwidefinancial.com/institutional-investors?_ga=2.83104726.1731350872.1718336327-1378945627.1718336327&_gl=1*5jurzk*_gcl_au*MTI2NTA3NDkwMC4xNzE4MzM2MzI4LjE2MDYzMTc0OTQuMTcxODQzNzMzNi4xNzE4NDM3MzM1*_ga*MTM3ODk0NTYyNy4xNzE4MzM2MzI3*_ga_GLJSQEPWL4*MTcxODQ1NzMxNS4xMC4xLjE3MTg0NTkyNjQuNjAuMC4w,Nationwide Investment Solutions - for Institutional Investors,DirectLink
