linkText,expectedURL,expectedTitle,condition
Get help online,https://nationwide.rsahelp.com/,Nationwide,DirectLink
Text us,https://www.nationwide.com/personal/about-us/text-message-notifications,Text Messaging Program – Nationwide,DirectLink
Call us,https://www.nationwide.com/personal/contact/call-us/,Contact Nationwide: Phone Numbers - Nationwide,DirectLink19
Email us,https://www.nationwide.com/personal/contact/online-form,Nationwide - Contact Us Online,DirectLink
feedback or a complaint,https://www.nationwide.com/personal/about-us/customer-advocate/,Customer Relations – Nationwide,DirectLink
Connect with us,https://www.nationwide.com/personal/contact/third-party/,Third-party Policy Inquiries - Nationwide,DirectLink
Explore,https://www.nationwide.com/personal/about-us/nationwide-sponsorships/,Nonprofit sponsorships and Events – Nationwide,DirectLink
Learn more,https://www.nationwide.com/personal/about-us/procurement/,Procurement – Nationwide,DirectLink
email us,https://www.nationwide.com/personal/contact/online-form,Nationwide - Contact Us Online,DirectLink
